".chain",".draw","min_dist","cvd_safe","min_deutan","min_protan","min_tritan","mean_chroma","lightness_spread","mean_L"
1,156,0.204074207967126,0.0327914963950836,0.0327634953580369,0.0543954697000858,0.0797780156893069,0.135774470469876,0.64874733223271,0.694485362698518
1,157,0.163799730910746,0.0958769798660424,0.138523882861866,0.111161334272894,0.0959213235897406,0.152230169936947,0.742323524663592,0.717028351950504
1,158,0.165519543151706,0.0362112658585968,0.0562290029824549,0.036206402101659,0.13741014107547,0.166375926097298,0.505416188214323,0.682244765690719
1,159,0.142216737769459,0.0870321728896123,0.111971484959257,0.1276794215105,0.0870730244723782,0.106826395832949,0.704919829816735,0.667278287273933
1,160,0.112526523784617,0.0528223036304099,0.0528316116256562,0.0956569257427093,0.107739379149495,0.145343456191317,0.743627650627222,0.665882719568336
1,161,0.159626500111415,0.111661059349585,0.118122009514002,0.117522182567085,0.111616216045657,0.126190694421108,0.785549841173861,0.642810378491482
1,162,0.159626500111415,0.111661059349585,0.118122009514002,0.117522182567085,0.111616216045657,0.126190694421108,0.785549841173861,0.642810378491482
1,163,0.205122427204385,0.011844540948967,0.0118299641433159,0.064833893127289,0.105197434825755,0.161651996595252,0.627586989067341,0.723422776619824
1,164,0.252667156397132,0.130976359401472,0.161166091085941,0.172123443345821,0.130959748406837,0.158937955975536,0.712859565097728,0.708806575156767
1,165,0.177746194386437,0.100113065253932,0.10012507360684,0.146253590195796,0.144453050331685,0.127101274914727,0.696190264682572,0.660146026176283
1,166,0.137571186897528,0.0617865741646264,0.0617905911086617,0.122714652863113,0.134282150278481,0.114016250890238,0.775339041160585,0.722023496958713
1,167,0.0890558043727454,0.0107337018431905,0.0264810118088149,0.0107357495561856,0.077774865095426,0.145857170448668,0.4463494785685,0.774509789492213
1,168,0.174409148370081,0.102114523719114,0.124123472123333,0.140982069907041,0.102164239355357,0.114070174894456,0.895792590402938,0.528408869329693
1,169,0.174409148370081,0.102114523719114,0.124123472123333,0.140982069907041,0.102164239355357,0.114070174894456,0.895792590402938,0.528408869329693
1,170,0.116222522059113,0.0696446255766614,0.10884155945259,0.0791078198666768,0.0696581518695943,0.108943567568795,0.778589688907901,0.618291074350239
1,171,0.176118500745971,0.0919210160063707,0.0919508640629921,0.101568987245854,0.149108470861933,0.133656185866657,0.674017519637382,0.674172730746856
1,172,0.181189368583907,0.0431654091246821,0.0804398596146584,0.0431595307712641,0.0740082230237249,0.133665922953403,0.538451321555898,0.623907003766801
1,173,0.0732069433092959,0.0188735857208389,0.0384978181846499,0.0393166143517793,0.0188730163430542,0.126730936685509,0.54950725278521,0.73409913523047
1,174,0.14234972293955,0.0862025233333931,0.112968887529699,0.111637671402192,0.0862058959062261,0.091042180047569,0.717273978255184,0.645145577731845
1,175,0.1766939947805,0.0436003546499931,0.0436555793718891,0.107646042567815,0.0624636580308132,0.130138795589038,0.45718637114725,0.739022924381887
1,176,0.20599311080267,0.0469570996896298,0.203615565329241,0.0841080287344394,0.0469668164503921,0.104677964361446,0.876989609168517,0.548280405072789
1,177,0.218779364633543,0.0761798542495179,0.0762219045938045,0.110344215334938,0.108139884178008,0.134572420550818,0.666970695629505,0.730777055615276
1,178,0.136124589696724,0.0546350638159723,0.0653326202941172,0.0800990172718448,0.054632923256312,0.129898868233795,0.390714738450134,0.769019253053451
1,179,0.265022095233003,0.106090162548705,0.14697821339686,0.128914423535349,0.106007106450905,0.144683608367075,0.749178240278414,0.674390442653987
1,180,0.168846620066787,0.103538549421379,0.115857243222074,0.103518363756538,0.111306952463318,0.127151551299066,0.798239965280064,0.628413317621287
1,181,0.14441398759414,0.0554974547407647,0.0555038910954035,0.103797241914074,0.138705082940885,0.115233528925475,0.740663544922961,0.667656030989334
1,182,0.189577709410294,0.105434213824875,0.105433181597501,0.121297522236193,0.132805798343812,0.157865700240034,0.571925424717248,0.618291360694204
1,183,0.212837400692454,0.0604147725902095,0.0604450659423823,0.0675356121359174,0.0856534971754416,0.162120971813495,0.788084356168132,0.626962438067023
1,184,0.147281502784151,0.0993811625013552,0.119926942227371,0.119027472113505,0.0993770272598749,0.13843407573858,0.479928606089283,0.662419720710489
1,185,0.139578016560348,0.078828142167784,0.0940877861801293,0.0787873538859697,0.0940151189076274,0.127361081986321,0.742047340205013,0.636576572693258
1,186,0.186073412821262,0.100900409824964,0.12222787834452,0.100890933626005,0.171432341114041,0.151694474696358,0.74071248925411,0.629177831380866
1,187,0.161778871367966,0.0915618701798356,0.114383823998091,0.0915884510737711,0.129461342195135,0.134499578935731,0.733730461499158,0.65080009624742
1,188,0.13370826301324,0.0532101836302883,0.0654112338404253,0.0532452356662429,0.0675508471799633,0.110350008824247,0.774021917349183,0.686310946615612
1,189,0.207865918035211,0.0942438223466832,0.112457129849531,0.0942334397623981,0.108149092157443,0.137318427652088,0.648750084915451,0.675458145048277
1,190,0.17840705067065,0.0338691576892205,0.0338528933748266,0.0718238859699724,0.0868838119055318,0.13363751735068,0.664127678132582,0.630177564260637
1,191,0.0755404555667913,0.00359745399387997,0.0035994799985874,0.0349680922790441,0.0853948392212533,0.120772431439133,0.349185037947932,0.759625726488925
1,192,0.170286123637971,0.0295880194555439,0.029589060797893,0.039358310052483,0.0682474999899314,0.122725257677573,0.426445523264909,0.752216604225963
1,193,0.141963878535036,0.0684895882935907,0.101246395343144,0.0685045445698577,0.118791695905975,0.114446343784349,0.52141012632096,0.596631632095355
1,194,0.141963878535036,0.0684895882935907,0.101246395343144,0.0685045445698577,0.118791695905975,0.114446343784349,0.52141012632096,0.596631632095355
